,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating
2091,Orange County Classical Academy,https://www.niche.com/k12/orange-county-classical-academy-orange-ca/,,0.8,0.72,,,,,,,,,,,,2092,,Orange,5.0
2092,Escuela Popular/Center For Training And Careers,https://www.niche.com/k12/escuela-popular-center-for-training-and-careers-san-jose-ca/,0.02,0.25,0.1,,,,,,,,,,,,2093,,San jose,
2093,Heartwood Charter School,https://www.niche.com/k12/heartwood-charter-school-petaluma-ca/,,0.47,0.27,,,,,,,,,,,,2094,,,
2094,Ivy Academia Entrepreneurial Charter School,https://www.niche.com/k12/ivy-academia-entrepreneurial-charter-school-woodland-hills-ca/,0.9,0.46,0.18,,,,1090.0,540.0,550.0,,,,,,2095,,Woodland hills,3.34
2095,Pacific Springs Charter School,https://www.niche.com/k12/pacific-springs-charter-school-chula-vista-ca/,,0.44,0.23,,,,,,,,,,,,2096,,Chula vista,
2096,Imperial County Special Education Local Plan Area,https://www.niche.com/k12/imperial-county-special-education-local-plan-area-el-centro-ca/,,0.08,0.08,,,,,,,,,,,,2097,,El centro,
2097,Monte Vista,https://www.niche.com/k12/monte-vista-simi-valley-ca/,0.87,0.42,0.17,,,,,,,,,,,,2098,Simi Valley Unified School District,Simi valley,4.0
2098,EPIC de Cesar Chavez,https://www.niche.com/k12/epic-de-cesar-chavez-tehachapi-ca/,0.1,,,,,,,,,,,,,,2099,,Tehachapi,
2099,Kern County Special Education Local Plan Area,https://www.niche.com/k12/kern-county-special-education-local-plan-area-bakersfield-ca/,,0.09,0.04,,,,,,,,,,,,2100,,Bakersfield,
2100,Stanislaus County Special Education,https://www.niche.com/k12/stanislaus-county-special-education-modesto-ca/,0.25,0.05,0.05,,,,,,,,,,,,2101,,Modesto,
2101,Trace,https://www.niche.com/k12/trace-san-diego-ca/,0.1,,,,,,,,,,,,,,2102,San Diego Unified School District,San diego,
2102,Citrus Springs Charter School,https://www.niche.com/k12/citrus-springs-charter-school-santa-ana-ca/,,0.48,0.33,,,,,,,,,,,,2103,,Santa ana,2.0
2103,Escuela Popular,https://www.niche.com/k12/escuela-popular-san-jose-ca/,,0.12,0.07,,,,,,,,,,,,2104,,San jose,4.0
2104,Gould Educational Center,https://www.niche.com/k12/gould-educational-center-madera-ca/,0.15,0.05,0.05,,,,,,,,,,,,2105,,Madera,
2105,LPS Oakland R & D Campus,https://www.niche.com/k12/lps-oakland-r-and-d-campus-oakland-ca/,0.92,0.32,0.05,,,,,,,,,,,,2106,,Oakland,
2106,New Opportunities Charter School,https://www.niche.com/k12/new-opportunities-charter-school-inglewood-ca/,0.01,,,,,,,,,,,,,,2107,,Inglewood,
2107,Orange County Special Education,https://www.niche.com/k12/orange-county-special-education-costa-mesa-ca/,0.1,0.05,0.05,,,,,,,,,,,,2108,,Costa mesa,
2108,Ventura County Special Education,https://www.niche.com/k12/ventura-county-special-education-camarillo-ca/,0.15,0.05,0.05,,,,,,,,,,,,2109,,Camarillo,
2109,Endeavor Charter School,https://www.niche.com/k12/endeavor-charter-school-fresno-ca/,,0.42,0.27,,,,,,,,,,,,2110,,Fresno,5.0
2110,Pace (Lynn L.) Education Center,https://www.niche.com/k12/pace-lynn-l-education-center-bellflower-ca/,,,,,,,,,,,,,,,2111,Downey Unified School District,,
2111,iLEAD Agua Dulce,https://www.niche.com/k12/ilead-agua-dulce-agua-dulce-ca/,,0.37,0.32,,,,,,,,,,,,2112,,Agua dulce,4.0
2112,Kings County Special Education,https://www.niche.com/k12/kings-county-special-education-hanford-ca/,,0.05,0.05,,,,,,,,,,,,2113,,Hanford,
2113,Escalon Charter Academy,https://www.niche.com/k12/escalon-charter-academy-escalon-ca/,,0.57,0.37,,,,,,,,,,,,2114,,Escalon,
2114,Sutter County Special Education,https://www.niche.com/k12/sutter-county-special-education-yuba-city-ca/,,0.05,0.05,,,,,,,,,,,,2115,,Yuba city,
2115,Northern United - Humboldt Charter School,https://www.niche.com/k12/northern-united-humboldt-charter-school-eureka-ca/,0.55,0.42,0.27,,,,,,,,,,,,2116,,Eureka,
2116,Solano County Special Education,https://www.niche.com/k12/solano-county-special-education-fairfield-ca/,,0.05,0.05,,,,,,,,,,,,2117,,Fairfield,
2117,San Lorenzo Valley Charter School,https://www.niche.com/k12/san-lorenzo-valley-charter-school-ben-lomond-ca/,,0.67,0.47,,,,,,,,,,,,2118,San Lorenzo Valley Unified School District,Ben lomond,3.82
2118,California School For The Deaf-Fremont,https://www.niche.com/k12/california-school-for-the-deaf-fremont-fremont-ca/,0.65,0.12,0.17,0.0,0.02,1.0,730.0,330.0,400.0,18.0,17.0,19.0,16.0,18.0,2119,,Fremont,4.33
2119,California School For The Deaf-Riverside,https://www.niche.com/k12/california-school-for-the-deaf-riverside-riverside-ca/,0.55,0.08,0.08,0.06,,,18.0,18.0,19.0,15.0,,,,,2120,,Riverside,4.29
2120,Placer County Pathways Charter School,https://www.niche.com/k12/placer-county-pathways-charter-school-auburn-ca/,0.42,0.47,0.42,,,,,,,,,,,,2121,,Auburn,5.0
2121,Birch High School,https://www.niche.com/k12/birch-high-school-fontana-ca/,0.67,0.12,0.05,,,,,,,,,,,,2122,Fontana Unified School District,Fontana,4.0
2122,Elinor Lincoln Hickey Junior/Senior High School,https://www.niche.com/k12/elinor-lincoln-hickey-junior-senior-high-school-sacramento-ca/,0.15,0.08,0.05,,,,,,,,,,,,2123,,Sacramento,
2123,Entrepreneur High Fontana,https://www.niche.com/k12/entrepreneur-high-fontana-fontana-ca-060255814586/,,,,,,,,,,,,,,,2124,,Fontana,
2124,Harbor Springs Charter School,https://www.niche.com/k12/harbor-springs-charter-school-temecula-ca/,,0.37,0.22,,,,,,,,,,,,2125,,Temecula,
2125,Joseph Pomeroy Widney Career Preparatory & Transition Center,https://www.niche.com/k12/joseph-pomeroy-widney-career-preparatory-and-transition-center-los-angeles-ca/,0.1,,,,,,,,,,,,,,2126,Los Angeles Unified School District,Los angeles,
2126,Home Education Independent Study Academy,https://www.niche.com/k12/home-education-independent-study-academy-bellflower-ca/,,0.47,0.22,,,,,,,,,,,,2127,Bellflower Unified School District,,
2127,Central Online Home,https://www.niche.com/k12/central-online-home-fresno-ca/,,0.38,0.18,,,,,,,,,,,,2128,Central Unified School District,,
2128,Pleasanton Virtual Academy,https://www.niche.com/k12/pleasanton-virtual-academy-pleasanton-ca/,,,,,,,,,,,,,,,2129,Pleasanton Unified School District,Pleasanton,4.11
2129,Sherman Indian High School,https://www.niche.com/k12/sherman-indian-high-school-riverside-ca/,0.57,0.15,0.1,,,,15.0,15.0,17.0,14.0,,,,,2130,,Riverside,4.29
2130,Monterey County Special Education,https://www.niche.com/k12/monterey-county-special-education-salinas-ca/,,0.08,0.08,,,,,,,,,,,,2131,,Salinas,4.0
2131,Hope Special Education Center,https://www.niche.com/k12/hope-special-education-center-buena-park-ca/,,0.1,0.1,,,,,,,,,,,,2132,Anaheim Union High School District,Buena park,
2132,Alfonso B. Perez Special Education Center,https://www.niche.com/k12/alfonso-b-perez-special-education-center-los-angeles-ca/,,0.72,0.1,,,,,,,,,,,,2133,Los Angeles Unified School District,Los angeles,
2133,Vista Springs Charter School,https://www.niche.com/k12/vista-springs-charter-school-vista-ca/,,0.27,0.17,,,,,,,,,,,,2134,,Vista,
2134,Vista Continuation High School,https://www.niche.com/k12/vista-continuation-high-school-bakersfield-ca/,0.42,0.12,0.05,,,,,,,,,,,,2135,Kern High School District,Bakersfield,
2135,JCS Manzanita,https://www.niche.com/k12/jcs-manzanita-la-mesa-ca/,,0.57,0.42,,,,,,,,,,,,2136,,La mesa,5.0
2136,Pioneer Continuation High School,https://www.niche.com/k12/pioneer-continuation-high-school-redding-ca/,0.57,0.17,0.05,,,,,,,,,,,,2137,Shasta Union High School District,Redding,1.0
2137,Trivium Charter School Adventure,https://www.niche.com/k12/trivium-charter-school-adventure-lompoc-ca/,,0.52,0.27,,,,,,,,,,,,2138,,Lompoc,
2138,Audeo Valley Charter,https://www.niche.com/k12/audeo-valley-charter-moreno-valley-ca/,,0.22,0.08,,,,,,,,,,,,2139,,Moreno valley,3.67
2139,Valley Community School Merced Campus,https://www.niche.com/k12/valley-community-school-merced-campus-merced-ca/,0.57,0.12,0.05,,,,,,,,,,,,2140,,Merced,
2140,American River Charter School,https://www.niche.com/k12/american-river-charter-school-georgetown-ca/,,0.37,0.17,,,,,,,,,,,,2141,Black Oak Mine Unified School District,Georgetown,5.0
2141,Nathaniel S. Colley Sr. High School,https://www.niche.com/k12/nathaniel-s-colley-sr-high-school-sacramento-ca/,0.17,0.17,0.05,,,,,,,,,,,,2142,,Sacramento,
2142,Reach Academy,https://www.niche.com/k12/reach-academy-santa-ana-ca/,0.65,0.1,0.1,,,,,,,,,,,,2143,Santa Ana Unified School District,Santa ana,
2143,Ousd Edge Virtual Academy,https://www.niche.com/k12/ousd-edge-virtual-academy-orange-ca/,,0.52,0.32,,,,,,,,,,,,2144,Orange Unified School District,,
2144,Sonoma County Special Education,https://www.niche.com/k12/sonoma-county-special-education-santa-rosa-ca/,,0.1,0.1,,,,,,,,,,,,2145,,Santa rosa,
2145,Kathleen MacDonald High,https://www.niche.com/k12/kathleen-macdonald-high-san-jose-ca/,,,,,,,,,,,,,,,2146,Santa Clara Unified School District,San jose,
2146,Surfside Educational Academy,https://www.niche.com/k12/surfside-educational-academy-oceanside-ca/,0.17,0.12,0.05,,,,,,,,,,,,2147,Oceanside Unified School District,Oceanside,3.8
2147,Abraham Lincoln Alternative School,https://www.niche.com/k12/abraham-lincoln-alternative-school-marysville-ca/,0.57,0.22,0.15,,,,,,,,,,,,2148,Marysville Joint Unified School District,,
2148,Marin County Special Education,https://www.niche.com/k12/marin-county-special-education-san-rafael-ca/,,0.1,0.15,,,,,,,,,,,,2149,,San rafael,
2149,Kerman Unified Online,https://www.niche.com/k12/kerman-unified-online-kerman-ca/,,0.27,0.05,,,,,,,,,,,,2150,Kerman Unified School District,,
2150,Madrone High Continuation,https://www.niche.com/k12/madrone-high-continuation-san-rafael-ca/,0.47,0.1,0.1,,,,,,,,,,,,2151,San Rafael City High School District,San rafael,
2151,Mojave River Academy - Marble City,https://www.niche.com/k12/mojave-river-academy-marble-city-phelan-ca/,,0.12,0.05,,,,,,,,,,,,2152,,Phelan,4.0
2152,Redwood Coast Montessori,https://www.niche.com/k12/redwood-coast-montessori-manila-ca/,,0.62,0.42,,,,,,,,,,,,2153,,Manila,
2153,Yuba County Special Education,https://www.niche.com/k12/yuba-county-special-education-marysville-ca/,,0.1,0.1,,,,,,,,,,,,2154,,Marysville,2.0
2154,Foundations Academy,https://www.niche.com/k12/foundations-academy-mather-ca/,,0.1,0.1,,,,,,,,,,,,2155,,Mather,
2155,Benjamin Banneker Career and Transition Center,https://www.niche.com/k12/benjamin-banneker-career-and-transition-center-los-angeles-ca/,,0.87,0.67,,,,,,,,,,,,2156,Los Angeles Unified School District,Los angeles,
2156,Special Education,https://www.niche.com/k12/special-education-placerville-ca/,,0.12,0.12,,,,,,,,,,,,2157,,Placerville,4.0
2157,San Diego SOAR Academy,https://www.niche.com/k12/san-diego-soar-academy-san-diego-ca/,0.22,0.1,0.1,,,,,,,,,,,,2158,,San diego,
2158,Aspen Ridge Public,https://www.niche.com/k12/aspen-ridge-public-fresno-ca-060255914587/,,0.32,0.17,,,,,,,,,,,,2159,,Fresno,
2159,Innovations Academy,https://www.niche.com/k12/innovations-academy-rancho-cordova-ca/,,0.47,0.37,,,,,,,,,,,,2160,Folsom-Cordova Unified School District,,
2160,Selma Independent,https://www.niche.com/k12/selma-independent-selma-ca/,0.75,0.17,0.12,,,,,,,,,,,,2161,Selma Unified School District,Selma,4.0
2161,Opportunity Charter,https://www.niche.com/k12/opportunity-charter-hayward-ca/,0.52,,,,,,,,,,,,,,2162,,Hayward,
2162,Yolo County Special Education,https://www.niche.com/k12/yolo-county-special-education-woodland-ca/,,0.08,0.05,,,,,,,,,,,,2163,,Woodland,
2163,Santa Cruz County Career Advancement Charter,https://www.niche.com/k12/santa-cruz-county-career-advancement-charter-freedom-ca/,0.22,,,,,,,,,,,,,,2164,,Freedom,
2164,Joaquin Miller Career & Transition Center,https://www.niche.com/k12/joaquin-miller-career-and-transition-center-reseda-ca/,0.1,,,,,,,,,,,,,,2165,Los Angeles Unified School District,Reseda,5.0
2165,Valley Academy,https://www.niche.com/k12/valley-academy-el-centro-ca/,0.35,0.15,0.1,,,,,,,,,,,,2166,,El centro,
2166,Diane S. Leichman Career Preparatory & Transition Center,https://www.niche.com/k12/diane-s-leichman-career-preparatory-and-transition-center-reseda-ca/,0.1,,,,,,,,,,,,,,2167,Los Angeles Unified School District,Reseda,
2167,South County Consortium,https://www.niche.com/k12/south-county-consortium-petaluma-ca/,,0.25,0.1,,,,,,,,,,,,2168,Petaluma City Elementary School District,Petaluma,
2168,Anacapa Adult Transition Program,https://www.niche.com/k12/anacapa-adult-transition-program-oxnard-ca/,,,,,,,,,,,,,,,2169,Oxnard Union High School District,Oxnard,
2169,Charles Leroy Lowman Special Ed & Career Transition Center,https://www.niche.com/k12/charles-leroy-lowman-special-ed-and-career-transition-center-north-hollywood-ca/,,0.1,0.1,,,,,,,,,,,,2170,Los Angeles Unified School District,North hollywood,
2170,Pvusd Virtual Academy,https://www.niche.com/k12/pvusd-virtual-academy-watsonville-ca/,,0.37,0.22,,,,,,,,,,,,2171,Pajaro Valley Unified School District,,
2171,Open Valley Independent Study,https://www.niche.com/k12/open-valley-independent-study-patterson-ca/,0.45,0.37,0.12,,,,,,,,,,,,2172,Patterson Joint Unified School District,Patterson,
2172,Ernest P. Willenberg Special Education Center,https://www.niche.com/k12/ernest-p-willenberg-special-education-center-san-pedro-ca/,,0.72,0.1,,,,,,,,,,,,2173,Los Angeles Unified School District,San pedro,
2173,Summit School,https://www.niche.com/k12/summit-school-ojai-ca/,,0.32,0.12,,,,,,,,,,,,2174,Ojai Unified School District,,
2174,Laurel Ruff Transition,https://www.niche.com/k12/laurel-ruff-transition-sacramento-ca/,,,,,,,,,,,,,,,2175,San Juan Unified School District,Sacramento,
2175,James J. McBride Special Education Center,https://www.niche.com/k12/james-j-mcbride-special-education-center-los-angeles-ca/,,0.75,0.55,,,,,,,,,,,,2176,Los Angeles Unified School District,Los angeles,
2176,College View,https://www.niche.com/k12/college-view-glendale-ca/,,,,,,,,,,,,,,,2177,Glendale Unified School District,Glendale,
2177,JCS - Pine Valley,https://www.niche.com/k12/jcs-pine-valley-pine-valley-ca/,,0.47,0.27,,,,,,,,,,,,2178,,Pine valley,4.6
2178,Aspire Stockton 6-12 Secondary Academy,https://www.niche.com/k12/aspire-stockton-6-12-secondary-academy-stockton-ca/,,0.32,0.17,,,,,,,,,,,,2179,,Stockton,
2179,Jessie Baker,https://www.niche.com/k12/jessie-baker-elk-grove-ca/,0.1,0.1,0.1,,,,,,,,,,,,2180,Elk Grove Unified School District,Elk grove,
2180,North Area Community,https://www.niche.com/k12/north-area-community-sacramento-ca/,0.27,0.1,0.1,,,,,,,,,,,,2181,,Sacramento,
2181,JCS - Cedar Cove,https://www.niche.com/k12/jcs-cedar-cove-encintas-ca/,,0.57,0.52,,,,,,,,,,,,2182,,Encintas,
2182,La Familia Continuation High School,https://www.niche.com/k12/la-familia-continuation-high-school-thermal-ca/,0.57,0.1,0.1,,,,,,,,,,,,2183,Coachella Valley Unified School District,Thermal,
2183,Pacific View Charter School,https://www.niche.com/k12/pacific-view-charter-school-eureka-ca/,,0.27,0.12,,,,,,,,,,,,2184,,Eureka,4.0
2184,Valley Community School Los Banos Campus,https://www.niche.com/k12/valley-community-school-los-banos-campus-los-banos-ca/,0.62,0.05,0.05,,,,,,,,,,,,2185,,Los banos,4.0
2185,Riley/New Dawn,https://www.niche.com/k12/riley-new-dawn-san-diego-ca/,,0.08,0.05,,,,,,,,,,,,2186,San Diego Unified School District,San diego,
2186,AeroSTEM Academy,https://www.niche.com/k12/aerostem-academy-yuba-city-ca/,,0.37,0.22,,,,,,,,,,,,2187,,Yuba city,
2187,San Leandro Virtual Academy,https://www.niche.com/k12/san-leandro-virtual-academy-san-leandro-ca/,,,,,,,,,,,,,,,2188,San Leandro Unified School District,,
2188,Victor Valley Virtual Academy,https://www.niche.com/k12/victor-valley-virtual-academy-victorville-ca/,,0.27,0.12,,,,,,,,,,,,2189,Victor Valley Union High School District,,
2189,South Valley High School,https://www.niche.com/k12/south-valley-high-school-ukiah-ca/,0.67,0.1,0.1,,,,,,,,,,,,2190,Ukiah Unified School District,Ukiah,3.0
2190,Oak Bridge Academy,https://www.niche.com/k12/oak-bridge-academy-chico-ca/,,0.52,0.27,,,,,,,,,,,,2191,Chico Unified School District,,
2191,George Key School,https://www.niche.com/k12/george-key-school-placentia-ca/,,,,,,,,,,,,,,,2192,Placentia-Yorba Linda Unified School District,Placentia,
2192,Renaissance Principal's Administrative Unit,https://www.niche.com/k12/renaissance-principals-administrative-unit-hawthorne-ca/,0.37,0.1,0.1,,,,,,,,,,,,2193,,Hawthorne,
2193,Marlton,https://www.niche.com/k12/marlton-los-angeles-ca/,,0.05,0.05,,,,,,,,,,,,2194,Los Angeles Unified School District,Los angeles,
2194,CCCOE Special Education Programs,https://www.niche.com/k12/cccoe-special-education-programs-antioch-ca/,,0.1,0.1,,,,,,,,,,,,2195,,Antioch,
2195,Young Adult Program,https://www.niche.com/k12/young-adult-program-oakland-ca/,,,,,,,,,,,,,,,2196,Oakland Unified School District,Oakland,
2196,Buckeye Union Mandarin Immersion Charter School,https://www.niche.com/k12/buckeye-union-mandarin-immersion-charter-school-el-dorado-hills-ca/,,0.85,0.9,,,,,,,,,,,,2197,Buckeye Union Elementary School District,El dorado hills,
2197,Vista Adult Transition Center,https://www.niche.com/k12/vista-adult-transition-center-vista-ca/,,,,,,,,,,,,,,,2198,Vista Unified School District,Vista,
2198,Delta Keys Charter School,https://www.niche.com/k12/delta-keys-charter-school-tracy-ca/,0.62,0.15,0.1,,,,,,,,,,,,2199,New Jerusalem Elementary School District,,
2199,Northern United - Siskiyou Charter,https://www.niche.com/k12/northern-united-siskiyou-charter-yreka-ca/,,0.45,0.25,,,,,,,,,,,,2200,,Yreka,
2200,Glen Paul,https://www.niche.com/k12/glen-paul-eureka-ca/,,0.1,0.1,,,,,,,,,,,,2201,,Eureka,
2201,S.F. County Special Education,https://www.niche.com/k12/sf-county-special-education-san-francisco-ca/,,,,,,,,,,,,,,,2202,,San francisco,
2202,Noli School,https://www.niche.com/k12/noli-school-san-jacinto-ca/,,0.1,0.1,,,,,,,,,,,,2203,,San jacinto,5.0
2203,Pathways for Adult Life Skills,https://www.niche.com/k12/pathways-for-adult-life-skills-perris-ca/,,,,,,,,,,,,,,,2204,Perris Union High School District,Perris,
2204,Prospect High School,https://www.niche.com/k12/prospect-high-school-oroville-ca/,0.47,0.15,0.1,,,,,,,,,,,,2205,Oroville Union High School District,Oroville,
2205,River Islands High,https://www.niche.com/k12/river-islands-high-lathrop-ca/,,,,,,,,,,,,,,,2206,,Lathrop,4.0
2206,Valley High School,https://www.niche.com/k12/valley-high-school-delano-ca/,0.85,0.15,0.1,,,,,,,,,,,,2207,Delano Joint Union High School District,Delano,
2207,Stoney Point Continuation,https://www.niche.com/k12/stoney-point-continuation-chatsworth-ca/,0.22,0.1,0.1,,,,,,,,,,,,2208,Los Angeles Unified School District,Chatsworth,
2208,Jordan Secondary Learning Center,https://www.niche.com/k12/jordan-secondary-learning-center-garden-grove-ca/,,,,,,,,,,,,,,,2209,Garden Grove Unified School District,Garden grove,
2209,Central Union Virtual Academy,https://www.niche.com/k12/central-union-virtual-academy-el-centro-ca/,,,,,,,,,,,,,,,2210,Central Union High School District,,
2210,Come Back Charter School,https://www.niche.com/k12/come-back-charter-school-merced-ca/,0.25,,,,,,,,,,,,,,2211,,Merced,5.0
2211,Independence High School,https://www.niche.com/k12/independence-high-school-lake-balboa-ca/,0.25,0.15,0.1,,,,,,,,,,,,2212,Los Angeles Unified School District,Lake balboa,
2212,Abraham Lincoln Alternative School,https://www.niche.com/k12/abraham-lincoln-alternative-school-rosamond-ca/,0.75,0.12,0.05,,,,,,,,,,,,2213,Southern Kern Unified School District,Rosamond,
2213,Santa Cruz County Special Education,https://www.niche.com/k12/santa-cruz-county-special-education-santa-cruz-ca/,,0.1,,,,,,,,,,,,,2214,,Santa cruz,
2214,Irvine Adult Transition Programs,https://www.niche.com/k12/irvine-adult-transition-programs-irvine-ca/,,,,,,,,,,,,,,,2215,Irvine Unified School District,Irvine,
2215,Ocasa College Prep,https://www.niche.com/k12/ocasa-college-prep-san-juan-capistrano-ca/,,0.47,0.42,,,,,,,,,,,,2216,,San juan capistrano,4.0
2216,California Heritage Youth Build Academy,https://www.niche.com/k12/california-heritage-youth-build-academy-redding-ca/,0.35,0.15,0.1,,,,,,,,,,,,2217,,Redding,
2217,Eureka Community,https://www.niche.com/k12/eureka-community-eureka-ca/,0.45,0.1,0.1,,,,,,,,,,,,2218,,Eureka,
2218,Sequoia High School,https://www.niche.com/k12/sequoia-high-school-merced-ca/,,0.17,0.17,,,,,,,,,,,,2219,Merced Union High School District,Merced,
2219,Corona-Norco Alternative School,https://www.niche.com/k12/corona-norco-alternative-school-corona-ca/,0.87,0.58,0.38,,,,,,,,,,,,2220,Corona-Norco Unified School District,Corona,
2220,Covina-Valley Learning Options Academy,https://www.niche.com/k12/covina-valley-learning-options-academy-covina-ca/,,0.42,0.27,,,,,,,,,,,,2221,Covina-Valley Unified School District,,
2221,Walton Development Center,https://www.niche.com/k12/walton-development-center-stockton-ca/,,0.1,0.1,,,,,,,,,,,,2222,Stockton Unified School District,Stockton,
2222,District Special Education,https://www.niche.com/k12/district-special-education-stockton-ca/,,,,,,,,,,,,,,,2223,Stockton Unified School District,Stockton,
2223,Central High School,https://www.niche.com/k12/central-high-school-barstow-ca/,0.42,0.08,0.05,,,,,,,,,,,,2224,Barstow Unified School District,Barstow,4.0
2224,Success One! Charter School,https://www.niche.com/k12/success-one-charter-school-orland-ca/,0.08,,,,,,,,,,,,,,2225,,,
2225,John R. Wooden High School,https://www.niche.com/k12/john-r-wooden-high-school-reseda-ca/,0.15,0.15,0.1,,,,,,,,,,,,2226,Los Angeles Unified School District,Reseda,4.0
2226,Mark Twain Special Center,https://www.niche.com/k12/mark-twain-special-center-garden-grove-ca/,,0.1,0.1,,,,,,,,,,,,2227,Garden Grove Unified School District,Garden grove,
2227,Napa County Community,https://www.niche.com/k12/napa-county-community-napa-ca/,0.55,0.1,0.1,,,,,,,,,,,,2228,,Napa,
2228,San Antonio High School,https://www.niche.com/k12/san-antonio-high-school-huntington-park-ca/,0.22,0.15,0.1,,,,,,,,,,,,2229,Los Angeles Unified School District,Huntington park,4.6
2229,San Antonio High School,https://www.niche.com/k12/san-antonio-high-school-petaluma-ca/,0.47,0.25,0.1,,,,,,,,,,,,2230,Petaluma Joint Union High School District,Petaluma,5.0
2230,Stanislaus Military Academy at Teel,https://www.niche.com/k12/stanislaus-military-academy-at-teel-empire-ca/,0.47,0.1,0.1,,,,,,,,,,,,2231,,Empire,
2231,Big Sur Charter School,https://www.niche.com/k12/big-sur-charter-school-monterey-ca/,,0.55,0.35,,,,,,,,,,,,2232,,Monterey,
2232,Donald C. Jamison High School,https://www.niche.com/k12/donald-c-jamison-high-school-lemoore-ca/,0.85,0.15,0.1,,,,,,,,,,,,2233,Lemoore Union High School District,Lemoore,4.0
2233,March Valley,https://www.niche.com/k12/march-valley-moreno-valley-ca/,,0.17,0.17,,,,,,,,,,,,2234,Moreno Valley Unified School District,Moreno valley,3.2
2234,S.F. County Opportunity (Hilltop),https://www.niche.com/k12/sf-county-opportunity-hilltop-san-francisco-ca/,0.35,,,,,,,,,,,,,,2235,,San francisco,
2235,Valley Oak Junior/Senior High School,https://www.niche.com/k12/valley-oak-junior-senior-high-school-oakdale-ca/,,,,,,,,,,,,,,,2236,Oakdale Joint Unified School District,,
2236,Arrow High School,https://www.niche.com/k12/arrow-high-school-glendora-ca/,0.85,0.25,0.1,,,,,,,,,,,,2237,Charter Oak Unified School District,Glendora,
2237,Maine Prairie High School,https://www.niche.com/k12/maine-prairie-high-school-dixon-ca/,0.67,0.1,0.1,,,,,,,,,,,,2238,Dixon Unified School District,Dixon,
2238,Hometech Charter School,https://www.niche.com/k12/hometech-charter-school-paradise-ca/,,0.35,0.25,,,,,,,,,,,,2239,,,
2239,Petersen Alternative Center for Education,https://www.niche.com/k12/petersen-alternative-center-for-education-modesto-ca/,0.22,0.15,0.1,,,,,,,,,,,,2240,,Modesto,
2240,Rowland Virtual Learning Academy,https://www.niche.com/k12/rowland-virtual-learning-academy-la-puente-ca/,,,,,,,,,,,,,,,2241,Rowland Unified School District,,
2241,Santa Clara County Community School,https://www.niche.com/k12/santa-clara-county-community-school-san-jose-ca/,0.35,0.1,0.1,,,,,,,,,,,,2242,,San jose,
2242,Yosemite Falls Education Center,https://www.niche.com/k12/yosemite-falls-education-center-oakhurst-ca/,,0.25,0.1,,,,,,,,,,,,2243,Yosemite Unified School District,Oakhurst,
2243,Agnes J. Johnson Elementary School,https://www.niche.com/k12/agnes-j-johnson-elementary-school-weott-ca/,,0.55,0.25,,,,,,,,,,,,2244,,Weott,
2244,New Horizon High School,https://www.niche.com/k12/new-horizon-high-school-banning-ca/,0.45,0.15,0.1,,,,,,,,,,,,2245,Banning Unified School District,Banning,
2245,Empower Generations,https://www.niche.com/k12/empower-generations-lancaster-ca/,,,,,,,,,,,,,,,2246,,,
2246,Phoenix,https://www.niche.com/k12/phoenix-camarillo-ca/,,0.1,0.1,,,,,,,,,,,,2247,,Camarillo,
2247,Placer County Special Education,https://www.niche.com/k12/placer-county-special-education-auburn-ca/,,0.1,0.1,,,,,,,,,,,,2248,,Auburn,
2248,KIPP Stockton Kindergarten-12 Grade,https://www.niche.com/k12/kipp-stockton-kindergarten-12-grade-stockton-ca/,,0.35,0.25,,,,,,,,,,,,2249,,Stockton,
2249,La Vida Charter School,https://www.niche.com/k12/la-vida-charter-school-willits-ca/,,,,,,,,,,,,,,,2250,,Willits,3.0
2250,Merit Academy,https://www.niche.com/k12/merit-academy-el-cajon-ca/,,,,,,,,,,,,,,,2251,Grossmont Union High School District,El cajon,
2251,Home & Hosp/Transition Support,https://www.niche.com/k12/home-and-hosp-transition-support-san-diego-ca/,,,,,,,,,,,,,,,2252,San Diego Unified School District,San diego,
2252,Kelseyville Learning Academy,https://www.niche.com/k12/kelseyville-learning-academy-kelseyville-ca/,,0.35,0.15,,,,,,,,,,,,2253,Kelseyville Unified School District,,
2253,Elm High School,https://www.niche.com/k12/elm-high-school-fresno-ca/,0.75,0.1,0.1,,,,,,,,,,,,2254,Washington Unified School District,Fresno,
2254,New Pacific School - Roseville,https://www.niche.com/k12/new-pacific-school-roseville-roseville-ca/,,,,,,,,,,,,,,,2255,,Roseville,
2255,Suncoast Preparatory Academy,https://www.niche.com/k12/suncoast-preparatory-academy-mission-viejo-ca/,,0.45,0.45,,,,,,,,,,,,2256,,,
2256,Triton Academy,https://www.niche.com/k12/triton-academy-camarillo-ca/,,0.1,0.1,,,,,,,,,,,,2257,,Camarillo,
2257,Glenn County Special Education,https://www.niche.com/k12/glenn-county-special-education-willows-ca/,,,,,,,,,,,,,,,2258,,Willows,
2258,Sierra High School,https://www.niche.com/k12/sierra-high-school-fillmore-ca/,0.85,0.15,0.1,,,,,,,,,,,,2259,Fillmore Unified School District,Fillmore,
2259,Zoe Barnum High School,https://www.niche.com/k12/zoe-barnum-high-school-eureka-ca/,0.75,,,,,,,,,,,,,,2260,,Eureka,
